CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
CVE-2018-5727,libopenjp2-7,2.3.0-2+deb10u2,unknown,6.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2013-7040,libpython2.7-minimal,2.7.16-2+deb10u1,unknown,None,,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-46657,libmariadb-dev,1:10.3.27-0+deb10u1,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-xxjr-mmjv-4gpg,lodash,4.17.15,4.17.23,None,MEDIUM,medium,transitive,2,14,npm,"UPGRADE — update from 4.17.15 to 4.17.23",low
CVE-2018-12934,binutils,2.31.1-16,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-35252,curl,7.64.0-4+deb10u2,unknown,3.7,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-2154,libmariadb-dev,1:10.3.27-0+deb10u1,unknown,4.9,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-23916,curl,7.64.0-4+deb10u2,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-25308,libfribidi0,1.0.5-3.1+deb10u1,unknown,7.8,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-pw2r-vq6v-hr8c,follow-redirects,1.9.0,1.15.11,None,MEDIUM,medium,transitive,3,1,npm,"UPGRADE — update from 1.9.0 to 1.15.11",low
CVE-2018-18606,binutils,2.31.1-16,unknown,5.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-47664,libde265-0,1.0.3-1+b1,unknown,7.8,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-34151,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-24975,git,1:2.20.1-2+deb10u3,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-30086,libtiff-dev,4.1.0+git191117-2~deb10u2,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-3800,libglib2.0-0,2.58.3-2+deb10u2,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-46666,libmariadb-dev,1:10.3.27-0+deb10u1,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-27771,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,3.3,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2016-10505,libopenjp2-7,2.3.0-2+deb10u2,unknown,6.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2017-17522,libpython2.7-minimal,2.7.16-2+deb10u1,unknown,8.8,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-gxpj-cx7g-858c,debug,3.2.6,4.4.3,None,LOW,low,transitive,2,31,npm,"UPGRADE — update from 3.2.6 to 4.4.3",low
CVE-2019-1010024,libc-bin,2.28-10,unknown,5.3,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-19603,libsqlite3-0,3.27.2-3+deb10u1,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-3541,libxml2,2.9.4+dfsg1-7+deb10u1,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-27535,curl,7.64.0-4+deb10u2,unknown,5.9,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-43787,libx11-6,2:1.6.7-1+deb10u1,unknown,7.8,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-28320,curl,7.64.0-4+deb10u2,unknown,5.9,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2017-17973,libtiff-dev,4.1.0+git191117-2~deb10u2,unknown,8.8,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2018-18700,binutils,2.31.1-16,unknown,5.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-46662,libmariadb-dev,1:10.3.27-0+deb10u1,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-32665,libglib2.0-0,2.58.3-2+deb10u2,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-22844,libtiff-dev,4.1.0+git191117-2~deb10u2,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2018-20845,libopenjp2-7,2.3.0-2+deb10u2,unknown,6.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-1122,libopenjp2-7,2.3.0-2+deb10u2,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-0562,libtiff-dev,4.1.0+git191117-2~deb10u2,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-4v9v-hfq4-rm2v,webpack-dev-server,3.3.1,5.2.3,None,MEDIUM,medium,transitive,2,1,npm,"UPGRADE — update from 3.3.1 to 5.2.3",low
CVE-2018-16376,libopenjp2-7,2.3.0-2+deb10u2,unknown,8.8,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2015-9019,libxslt1-dev,1.1.32-2.2~deb10u1,unknown,5.3,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-27764,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,3.3,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2017-7246,libpcre16-3,2:8.39-12,unknown,7.8,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-50495,libncurses-dev,6.1+20181013-2+deb10u2,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-29469,libxml2,2.9.4+dfsg1-7+deb10u1,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-21427,libmariadb-dev,1:10.3.27-0+deb10u1,unknown,4.9,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-25221,libde265-0,1.0.3-1+b1,unknown,7.8,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2016-9116,libopenjp2-7,2.3.0-2+deb10u2,unknown,6.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2016-9117,libopenjp2-7,2.3.0-2+deb10u2,unknown,6.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-10029,libc-bin,2.28-10,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
