Package,Current_Version,Latest_Version,Ecosystem,Source_Package,Total_CVEs,Fixed,Open,Unknown,New_In_Latest,Net_Change,Recommendation
dirmngr,2.2.12-1+deb10u1,unknown,debian,gnupg2,3,2,1,0,0,-2,"UPGRADE — 2/3 fixed; 1 remain; no new CVEs"
libelf1,0.176-1.1,unknown,debian,elfutils,3,2,1,0,0,-2,"UPGRADE — 2/3 fixed; 1 remain; no new CVEs"
libxslt1-dev,1.1.32-2.2~deb10u1,unknown,debian,libxslt,3,2,1,0,0,-2,"UPGRADE — 2/3 fixed; 1 remain; no new CVEs"
unzip,6.0-23+deb10u2,unknown,debian,unzip,3,2,1,0,0,-2,"UPGRADE — 2/3 fixed; 1 remain; no new CVEs"
@angular/compiler,8.2.14,21.1.4,npm,@angular/compiler,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
@npmcli/arborist,2.3.0,9.3.0,npm,@npmcli/arborist,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
engine.io,3.2.1,6.6.5,npm,engine.io,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
express,4.18.2,5.2.1,npm,express,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
jszip,3.6.0,3.10.1,npm,jszip,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
karma,4.0.1,6.4.4,npm,karma,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
libhogweed4,3.4.1-1,unknown,debian,nettle,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
libksba8,1.3.5-2,unknown,debian,libksba,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
liblz4-1,1.8.3-1,unknown,debian,lz4,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
libsvn1,1.10.4-1+deb10u2,unknown,debian,subversion,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
libtasn1-6,4.13-3,unknown,debian,libtasn1-6,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
minimist,0.0.10,1.2.8,npm,minimist,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
path-to-regexp,0.1.7,8.3.0,npm,path-to-regexp,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
pbkdf2,3.1.2,3.1.5,npm,pbkdf2,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
qs,6.11.0,6.15.0,npm,qs,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
serialize-javascript,1.9.1,7.0.2,npm,serialize-javascript,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
shelljs,0.8.3,0.10.0,npm,shelljs,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
socket.io,2.1.1,4.8.3,npm,socket.io,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
tree-kill,1.2.1,1.2.2,npm,tree-kill,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
webpack-dev-server,3.3.1,5.2.3,npm,webpack-dev-server,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
xmlhttprequest-ssl,1.5.5,4.0.0,npm,xmlhttprequest-ssl,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
zlib1g,1:1.2.11.dfsg-1,unknown,debian,zlib,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
libldap-2.4-2,2.4.47+dfsg-3+deb10u6,unknown,debian,openldap,6,1,5,0,0,-1,"UPGRADE — 1/6 fixed; 5 remain; no new CVEs"
libpcre16-3,2:8.39-12,unknown,debian,pcre3,6,1,5,0,0,-1,"UPGRADE — 1/6 fixed; 5 remain; no new CVEs"
xmldom,0.1.27,0.6.0,npm,xmldom,3,1,2,0,0,-1,"UPGRADE — 1/3 fixed; 2 remain; no new CVEs"
ip,1.1.5,2.0.1,npm,ip,2,1,0,1,0,-1,"UPGRADE — 1/2 fixed; 0 remain; no new CVEs"
libharfbuzz0b,2.3.1-1,unknown,debian,harfbuzz,2,1,1,0,0,-1,"UPGRADE — 1/2 fixed; 1 remain; no new CVEs"
libpixman-1-0,0.36.0-1,unknown,debian,pixman,2,1,1,0,0,-1,"UPGRADE — 1/2 fixed; 1 remain; no new CVEs"
libxtables12,1.8.2-4,unknown,debian,iptables,2,1,1,0,0,-1,"UPGRADE — 1/2 fixed; 1 remain; no new CVEs"
