bom_ref	ecosystem	name	version	purl	type	vuln_count	max_severity	vuln_ids
pkg:deb/debian/libuuid1@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=2049f4c13963925a&upstream=util-linux	deb	libuuid1	2.38.1-5+deb12u3	pkg:deb/debian/libuuid1@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=util-linux	library	2	medium	CVE-2022-0563,CVE-2025-14104
pkg:deb/debian/mount@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=e75e0a2b6968d414&upstream=util-linux	deb	mount	2.38.1-5+deb12u3	pkg:deb/debian/mount@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=util-linux	library	2	medium	CVE-2022-0563,CVE-2025-14104
pkg:deb/debian/util-linux@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=b11f4a313957922c	deb	util-linux	2.38.1-5+deb12u3	pkg:deb/debian/util-linux@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12	library	2	medium	CVE-2022-0563,CVE-2025-14104
pkg:deb/debian/util-linux-extra@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=fc9180bcad1f4d49&upstream=util-linux	deb	util-linux-extra	2.38.1-5+deb12u3	pkg:deb/debian/util-linux-extra@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=util-linux	library	2	medium	CVE-2022-0563,CVE-2025-14104
pkg:deb/debian/uuid-runtime@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=9cb935fafd01439f&upstream=util-linux	deb	uuid-runtime	2.38.1-5+deb12u3	pkg:deb/debian/uuid-runtime@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=util-linux	library	2	medium	CVE-2022-0563,CVE-2025-14104
pkg:deb/debian/libsystemd0@252.39-1~deb12u1?arch=amd64&distro=debian-12&package-id=ffff5892914d165f&upstream=systemd	deb	libsystemd0	252.39-1~deb12u1	pkg:deb/debian/libsystemd0@252.39-1~deb12u1?arch=amd64&distro=debian-12&upstream=systemd	library	4	none	CVE-2013-4392,CVE-2023-31437,CVE-2023-31438,CVE-2023-31439
pkg:deb/debian/libudev1@252.39-1~deb12u1?arch=amd64&distro=debian-12&package-id=884632838cded891&upstream=systemd	deb	libudev1	252.39-1~deb12u1	pkg:deb/debian/libudev1@252.39-1~deb12u1?arch=amd64&distro=debian-12&upstream=systemd	library	4	none	CVE-2013-4392,CVE-2023-31437,CVE-2023-31438,CVE-2023-31439
pkg:deb/debian/cpp-12@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=411b8392b99d579e&upstream=gcc-12	deb	cpp-12	12.2.0-14+deb12u1	pkg:deb/debian/cpp-12@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/g%2B%2B-12@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=d4746f84a0e9d007&upstream=gcc-12	deb	g++-12	12.2.0-14+deb12u1	pkg:deb/debian/g%2B%2B-12@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/gcc-12@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=b84cfde350fe897d	deb	gcc-12	12.2.0-14+deb12u1	pkg:deb/debian/gcc-12@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12	library	1	none	CVE-2022-27943
pkg:deb/debian/gcc-12-base@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=5dd3e15c0db94758&upstream=gcc-12	deb	gcc-12-base	12.2.0-14+deb12u1	pkg:deb/debian/gcc-12-base@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libasan8@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=588f1d72fd42e121&upstream=gcc-12	deb	libasan8	12.2.0-14+deb12u1	pkg:deb/debian/libasan8@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libatomic1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=8ae9365ce7a26f63&upstream=gcc-12	deb	libatomic1	12.2.0-14+deb12u1	pkg:deb/debian/libatomic1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libcc1-0@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=e030001af4af8a54&upstream=gcc-12	deb	libcc1-0	12.2.0-14+deb12u1	pkg:deb/debian/libcc1-0@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libgcc-12-dev@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=46c715b2383b94a6&upstream=gcc-12	deb	libgcc-12-dev	12.2.0-14+deb12u1	pkg:deb/debian/libgcc-12-dev@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libgcc-s1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=f34a6c9eeba92c05&upstream=gcc-12	deb	libgcc-s1	12.2.0-14+deb12u1	pkg:deb/debian/libgcc-s1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libgomp1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=04ffb91a594718a3&upstream=gcc-12	deb	libgomp1	12.2.0-14+deb12u1	pkg:deb/debian/libgomp1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libitm1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=9579721d3073dea4&upstream=gcc-12	deb	libitm1	12.2.0-14+deb12u1	pkg:deb/debian/libitm1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/liblsan0@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=2717998825e5d420&upstream=gcc-12	deb	liblsan0	12.2.0-14+deb12u1	pkg:deb/debian/liblsan0@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libquadmath0@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=0386de411df4c929&upstream=gcc-12	deb	libquadmath0	12.2.0-14+deb12u1	pkg:deb/debian/libquadmath0@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libstdc%2B%2B-12-dev@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=eefe5f807560527f&upstream=gcc-12	deb	libstdc++-12-dev	12.2.0-14+deb12u1	pkg:deb/debian/libstdc%2B%2B-12-dev@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libstdc%2B%2B6@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=6c755f621b3d6c49&upstream=gcc-12	deb	libstdc++6	12.2.0-14+deb12u1	pkg:deb/debian/libstdc%2B%2B6@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libtsan2@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=b0763711c23026f8&upstream=gcc-12	deb	libtsan2	12.2.0-14+deb12u1	pkg:deb/debian/libtsan2@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libubsan1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=c9bf42e78c16b99e&upstream=gcc-12	deb	libubsan1	12.2.0-14+deb12u1	pkg:deb/debian/libubsan1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&upstream=gcc-12	library	1	none	CVE-2022-27943
pkg:deb/debian/libssl3@3.0.18-1~deb12u2?arch=amd64&distro=debian-12&package-id=35e262a0bed1c5f7&upstream=openssl	deb	libssl3	3.0.18-1~deb12u2	pkg:deb/debian/libssl3@3.0.18-1~deb12u2?arch=amd64&distro=debian-12&upstream=openssl	library	1	none	CVE-2025-27587
pkg:deb/debian/openssl@3.0.18-1~deb12u2?arch=amd64&distro=debian-12&package-id=040060437888b04a	deb	openssl	3.0.18-1~deb12u2	pkg:deb/debian/openssl@3.0.18-1~deb12u2?arch=amd64&distro=debian-12	library	1	none	CVE-2025-27587
